g_name;population_size;number_of_edges;beta;innovators_perc;centrism;conformism;modularity;m_barabasi;p_rew_erdos;recommender;rewiring;s;max_time;misinformation;epsilon;n_experiments;mu;delta;time;converged;tot_rewiring;simulation_seed;opinion_seed;graph_seed;avg_op0;avg_opf;ndi0;ndif;stdv0;stdvf;clust0;clustf;BC0;BCf;neigh_corr0;neigh_corrf;num_peaks0;num_peaksf;rwc0;rwcf;strongly_cc0;strongly_ccf;propro;prono;nono;nopro;other
fortunato;400;4540;0.0;0.525;1.0;0.2;0.05;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;973;32;30;31;0.5058890513702101;0.5040934134656473;0.32326361116174335;0.20883588532748953;115.46969299344309;115.46969299344309;0.37112046821840794;0.5260928586170261;0.5143815270540676;0.4169453500566061;0.010231010836551528;0.14824776527407024;3;4;0.31474303823935507;0.41446551011306254;1;1;1611387;438;2333687;517;2053971
fortunato;400;5156;0.0;0.495;1.0;0.2;0.05;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;497;110;108;109;0.48454568760995964;0.47964644427824743;0.3361381511030999;0.23844011298897352;115.46969299344309;115.46969299344309;0.26896136991646813;0.3606817587820121;0.5945392341615668;0.9209296129542849;0.03463308225902016;0.06707084934710099;3;2;0.31264993389597073;0.348436906124458;1;1;2131321;231;1918619;180;1949649
fortunato;400;4882;0.0;0.505;1.0;0.2;0.05;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;1176;86;84;85;0.49222673653116644;0.4970913712228316;0.326475306640993;0.24228948994714578;115.46969299344309;115.46969299344309;0.33486236969065414;0.4915057333326628;0.5513966131204762;0.8646032914354466;0.1176177467090314;0.09044729252008901;2;2;0.27679593980819417;0.2970815533562585;1;1;2378764;164;1685981;115;1934976
fortunato;400;5227;0.0;0.4625;1.0;0.2;0.05;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;831;122;120;121;0.48050908541548365;0.4871943120167657;0.2972063523896544;0.18274993483992003;115.46969299344309;115.46969299344309;0.40469606894620164;0.517705652368534;0.5477389741810936;0.9778329902162174;0.07235871531599081;0.30434838998710284;1;2;0.3066659289749648;0.40141920632399086;1;1;2073328;366;2209245;399;1716662
fortunato;400;5323;0.0;0.46;1.0;0.2;0.05;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;664;2;0;1;0.46344510098346947;0.4683508978312386;0.32263360191294305;0.19450552909985416;115.46969299344309;115.46969299344309;0.35829844877269224;0.4678115578137123;0.5593048391033151;0.7757785195127237;0.10394798064423134;0.2844764758255718;3;3;0.2981163576057955;0.41093606863771903;1;1;2805498;575;1471501;589;1721837
fortunato;400;5110;0.0;0.4575;1.0;0.2;0.05;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;986;38;36;37;0.4818344092076648;0.48884723696913185;0.3351333354024009;0.19929614121048347;115.46969299344309;115.46969299344309;0.40958553846671175;0.5538880863458359;0.5689134399016826;0.8975843120689211;0.07205942856104251;0.2637629305547594;3;2;0.289229923848348;0.3659056862030685;1;1;1689549;231;2556209;334;1753677
fortunato;400;5210;0.0;0.505;1.0;0.2;0.05;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;687;20;18;19;0.5168410571854942;0.5103514134085101;0.3361062568147804;0.22710892654866421;115.46969299344309;115.46969299344309;0.32829316638184963;0.4519477882536297;0.56381353749197;0.9615852024137128;0.039331910262202896;0.12785991622509268;3;2;0.2960948590371234;0.3476084310753046;1;1;2780404;532;1404640;482;1813942
fortunato;400;4812;0.0;0.5275;1.0;0.2;0.05;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;1010;104;102;103;0.5372642989582725;0.5416145295456657;0.3043601512214203;0.20140735468309354;115.46969299344309;115.46969299344309;0.3564028989753285;0.5087437044736073;0.5518298834206291;0.6540929701478595;0.15660373012705356;0.3242982498349296;2;3;0.30733891350771875;0.3666110326992029;1;2;1669976;278;2496744;320;1832682
fortunato;400;5343;0.0;0.46;1.0;0.2;0.05;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;856;92;90;91;0.492323947902131;0.48697364467504173;0.324167869273297;0.23857012080291745;115.46969299344309;115.46969299344309;0.4019369324064783;0.5285150996334922;0.5615916316765843;0.9573625591111212;0.04312550397316918;0.15337565960564942;2;2;0.28930920364679563;0.34072425759799446;1;1;1688449;101;2424767;92;1886591
fortunato;400;5085;0.0;0.4575;1.0;0.2;0.05;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;964;98;96;97;0.48977658482695463;0.4829476551613949;0.3403116171618348;0.23576636128946987;115.46969299344309;115.46969299344309;0.3835144314171959;0.5159247757446243;0.5752661290590605;0.8475875981910405;0.08942922681153713;0.10360951676998832;3;2;0.2765957094073612;0.303162326019281;1;1;1356063;313;2753857;398;1889369
